Primate_div_Project	Great_ape_data
PD_0004-Ateles_belzebuth	ERS1986505-Pongo_abelii
PD_0005-Alouatta_macconnelli	ERS1986506-Pongo_abelii
PD_0016-Lagothrix_lagothricha	ERS1986509-Pongo_abelii
PD_0025-Alouatta_seniculus	ERS1986510-Pongo_abelii
PD_0026-Alouatta_puruensis	SRS396839-Pongo_abelii
PD_0073-Alouatta_caraya	Imfura-Gorilla_beringei_beringei
PD_0074-Ateles_chamek	Kaboko-Gorilla_beringei_beringei
PD_0075-Ateles_paniscus	Maisha-Gorilla_beringei_beringei
PD_0076-Ateles_marginatus	Tuck-Gorilla_beringei_beringei
PD_0089-Alouatta_macconnelli	Zirikana-Gorilla_beringei_beringei
PD_0134-Alouatta_seniculus	9732-Gorilla_beringei_graueri
PD_0135-Alouatta_macconnelli	A929-Gorilla_beringei_graueri
PD_0136-Alouatta_seniculus	Itebero-Gorilla_beringei_graueri
PD_0137-Alouatta_puruensis	Ntabwoba-Gorilla_beringei_graueri
PD_0138-Ateles_belzebuth	Tumani-Gorilla_beringei_graueri
PD_0139-Ateles_chamek	9749-Gorilla_gorilla_gorilla
PD_0140-Ateles_chamek	9750-Gorilla_gorilla_gorilla
PD_0294-Alouatta_belzebul	9751-Gorilla_gorilla_gorilla
PD_0295-Alouatta_discolor	9752-Gorilla_gorilla_gorilla
PD_0296-Alouatta_nigerrima	9753-Gorilla_gorilla_gorilla
PD_0297-Alouatta_seniculus	A931-Gorilla_gorilla_gorilla
PD_0298-Alouatta_seniculus	A932-Gorilla_gorilla_gorilla
PD_0299-Alouatta_caraya	A933-Gorilla_gorilla_gorilla
PD_0300-Ateles_chamek	A934-Gorilla_gorilla_gorilla
PD_0301-Ateles_chamek	A936-Gorilla_gorilla_gorilla
PD_0302-Ateles_chamek	A962-Gorilla_gorilla_gorilla
PD_0303-Ateles_chamek	KB3782-Gorilla_gorilla_gorilla
PD_0304-Ateles_paniscus	KB3784-Gorilla_gorilla_gorilla
PD_0305-Ateles_chamek	KB4986-Gorilla_gorilla_gorilla
PD_0412-Alouatta_seniculus	KB5792-Gorilla_gorilla_gorilla
PD_0413-Alouatta_seniculus	KB5852-Gorilla_gorilla_gorilla
PD_0414-Alouatta_seniculus	KB6039-Gorilla_gorilla_gorilla
