Primate_div_Project	Great_ape_data
PD_0008-Aotus_trivirgatus	ERS1986505-Pongo_abelii
PD_0286-Aotus_vociferans	ERS1986506-Pongo_abelii
PD_0794-Aotus_vociferans	ERS1986507-Pongo_abelii
PD_0795-Aotus_vociferans	ERS1986508-Pongo_abelii
PD_0796-Aotus_vociferans	ERS1986509-Pongo_abelii
PD_0797-Aotus_vociferans	ERS1986510-Pongo_abelii
PD_0798-Aotus_azarae	SRS396837-Pongo_abelii
PD_0799-Aotus_azarae	SRS396838-Pongo_abelii
PD_0800-Aotus_azarae	SRS396839-Pongo_abelii
PD_0801-Aotus_azarae	SRS396840-Pongo_abelii
PD_0802-Aotus_griseimembra	SRS396841-Pongo_abelii
PD_0803-Aotus_griseimembra	Imfura-Gorilla_beringei_beringei
PD_0804-Aotus_griseimembra	Kaboko-Gorilla_beringei_beringei
PD_0805-Aotus_griseimembra	Maisha-Gorilla_beringei_beringei
PD_0806-Aotus_azarae	Tuck-Gorilla_beringei_beringei
PD_0807-Aotus_azarae	Umurimo-Gorilla_beringei_beringei
PD_0808-Aotus_azarae	Zirikana-Gorilla_beringei_beringei
PD_0809-Aotus_azarae	9732-Gorilla_beringei_graueri
PD_0810-Aotus_azarae	A929-Gorilla_beringei_graueri
PD_0811-Aotus_azarae	A967-Gorilla_beringei_graueri
PD_0812-Aotus_azarae	Dunia-Gorilla_beringei_graueri
PD_0813-Aotus_azarae	Itebero-Gorilla_beringei_graueri
PD_0814-Aotus_azarae	Ntabwoba-Gorilla_beringei_graueri
PD_0815-Aotus_azarae	Pinga-Gorilla_beringei_graueri
PD_0004-Ateles_belzebuth	Tumani-Gorilla_beringei_graueri
PD_0005-Alouatta_macconnelli	B646-Gorilla_gorilla_diehli
PD_0016-Lagothrix_lagothricha	9749-Gorilla_gorilla_gorilla
PD_0025-Alouatta_seniculus	9750-Gorilla_gorilla_gorilla
PD_0026-Alouatta_puruensis	9751-Gorilla_gorilla_gorilla
PD_0027-Alouatta_discolor	9752-Gorilla_gorilla_gorilla
PD_0072-Alouatta_seniculus	9753-Gorilla_gorilla_gorilla
PD_0073-Alouatta_caraya	A930-Gorilla_gorilla_gorilla
PD_0075-Ateles_paniscus	A931-Gorilla_gorilla_gorilla
PD_0076-Ateles_marginatus	A932-Gorilla_gorilla_gorilla
PD_0089-Alouatta_macconnelli	A933-Gorilla_gorilla_gorilla
PD_0134-Alouatta_seniculus	A934-Gorilla_gorilla_gorilla
PD_0135-Alouatta_macconnelli	A936-Gorilla_gorilla_gorilla
PD_0136-Alouatta_seniculus	A937-Gorilla_gorilla_gorilla
PD_0137-Alouatta_puruensis	A962-Gorilla_gorilla_gorilla
PD_0138-Ateles_belzebuth	B642_Akiba_Beri-Gorilla_gorilla_gorilla
PD_0139-Ateles_chamek	B643-Gorilla_gorilla_gorilla
PD_0140-Ateles_chamek	B644-Gorilla_gorilla_gorilla
PD_0294-Alouatta_belzebul	B647-Gorilla_gorilla_gorilla
PD_0295-Alouatta_discolor	B650-Gorilla_gorilla_gorilla
PD_0296-Alouatta_nigerrima	KB3782-Gorilla_gorilla_gorilla
PD_0297-Alouatta_seniculus	KB3784-Gorilla_gorilla_gorilla
PD_0298-Alouatta_seniculus	KB4986-Gorilla_gorilla_gorilla
PD_0299-Alouatta_caraya	KB5792-Gorilla_gorilla_gorilla
PD_0300-Ateles_chamek	KB5852-Gorilla_gorilla_gorilla
PD_0301-Ateles_chamek	KB6039-Gorilla_gorilla_gorilla
PD_0302-Ateles_chamek	KB7973-Gorilla_gorilla_gorilla
PD_0303-Ateles_chamek	X00108-Gorilla_gorilla_gorilla
PD_0304-Ateles_paniscus	X00109-Gorilla_gorilla_gorilla
PD_0305-Ateles_chamek	Africa_20-Homo_sapiens
PD_0412-Alouatta_seniculus	Africa_21-Homo_sapiens
PD_0413-Alouatta_seniculus	Africa_22-Homo_sapiens
PD_0414-Alouatta_seniculus	Africa_23-Homo_sapiens
PD_0415-Alouatta_nigerrima	Africa_24-Homo_sapiens
PD_0416-Alouatta_macconnelli	Africa_25-Homo_sapiens
PD_0417-Alouatta_macconnelli	Africa_26-Homo_sapiens
PD_0418-Alouatta_seniculus	Africa_27-Homo_sapiens
PD_0419-Alouatta_puruensis	Africa_28-Homo_sapiens
PD_0420-Alouatta_juara	WestEurasia_0-Homo_sapiens
PD_0421-Alouatta_juara	WestEurasia_1-Homo_sapiens
PD_0422-Alouatta_seniculus	WestEurasia_2-Homo_sapiens
PD_0423-Alouatta_seniculus	WestEurasia_3-Homo_sapiens
PD_0424-Alouatta_seniculus	WestEurasia_4-Homo_sapiens
PD_0425-Alouatta_seniculus	WestEurasia_5-Homo_sapiens
PD_0426-Alouatta_puruensis	WestEurasia_6-Homo_sapiens
PD_0428-Alouatta_seniculus	WestEurasia_7-Homo_sapiens
PD_0430-Alouatta_puruensis	WestEurasia_8-Homo_sapiens
PD_0431-Ateles_chamek	WestEurasia_9-Homo_sapiens
PD_0432-Ateles_chamek	A914_Hortense-Pan_paniscus
PD_0433-Ateles_chamek	A915_Kosana-Pan_paniscus
PD_0002-Callibella_humilis	A917_Dzeeta-Pan_paniscus
PD_0010-Cebuella_niveiventris	A918_Hermien-Pan_paniscus
PD_0116-Callimico_goeldii	A919_Desmond-Pan_paniscus
PD_0117-Mico_argentatus	A922_Catherine-Pan_paniscus
PD_0281-Mico_argentatus	A923_Kombote-Pan_paniscus
PD_0282-Mico_humeralifer	A924_Chipita-Pan_paniscus
PD_0283-Mico_spnv	A925_Bono-Pan_paniscus
PD_0287-Cebuella_niveiventris	A926_Natalie-Pan_paniscus
PD_0293-Leontopithecus_rosalia	A996_Diana-Pan_troglodytes
PD_0309-Cebuella_pygmaea	B010_Ikuru-Pan_troglodytes
PD_0411-Leontopithecus_rosalia	Akwaya-Pan_troglodytes_ellioti
PD_0840-Leontopithecus_chrysomelas	Banyo-Pan_troglodytes_ellioti
PD_0841-Leontopithecus_chrysomelas	Basho-Pan_troglodytes_ellioti
PD_0844-Leontopithecus_chrysomelas	Damian-Pan_troglodytes_ellioti
PD_0861-Callithrix_jacchus	Julie-Pan_troglodytes_ellioti
PD_0863-Callithrix_geoffroyi	Kopongo-Pan_troglodytes_ellioti
PD_0865-Callithrix_kuhlii	Koto-Pan_troglodytes_ellioti
PD_0007-Cebus_olivaceus	Paquita-Pan_troglodytes_ellioti
PD_0011-Sapajus_macrocephalus	Taweh-Pan_troglodytes_ellioti
PD_0012-Saimiri_ustus	Tobi-Pan_troglodytes_ellioti
PD_0013-Cebus_unicolor	N018_Trixie-Pan_troglodytes
PD_0077-Cebus_unicolor	100037-Pan_troglodytes_schweinfurthii
PD_0078-Cebus_albifrons	100040-Pan_troglodytes_schweinfurthii
PD_0079-Cebus_olivaceus	9729-Pan_troglodytes_schweinfurthii
PD_0141-Cebus_albifrons	A910-Pan_troglodytes_schweinfurthii
PD_0176-Saimiri_oerstedii	A911-Pan_troglodytes_schweinfurthii
PD_0310-Cebus_unicolor	A912-Pan_troglodytes_schweinfurthii
PD_0311-Cebus_unicolor	B007-Pan_troglodytes_schweinfurthii
PD_0353-Saimiri_cassiquiarensis	B011-Pan_troglodytes_schweinfurthii
PD_0354-Saimiri_cassiquiarensis	B012-Pan_troglodytes_schweinfurthii
PD_0355-Saimiri_cassiquiarensis	B013-Pan_troglodytes_schweinfurthii
PD_0356-Saimiri_cassiquiarensis	B014-Pan_troglodytes_schweinfurthii
PD_0357-Saimiri_cassiquiarensis	N015-Pan_troglodytes_schweinfurthii
PD_0358-Saimiri_cassiquiarensis	N019-Pan_troglodytes_schweinfurthii
PD_0359-Saimiri_cassiquiarensis	10964-Pan_troglodytes_troglodytes
PD_0360-Saimiri_cassiquiarensis	11352-Pan_troglodytes_troglodytes
PD_0361-Saimiri_macrodon	11528-Pan_troglodytes_troglodytes
PD_0362-Saimiri_macrodon	12311-Pan_troglodytes_troglodytes
PD_0363-Saimiri_ustus	12320-Pan_troglodytes_troglodytes
PD_0364-Saimiri_sciureus	12348-Pan_troglodytes_troglodytes
PD_0366-Saimiri_ustus	12420-Pan_troglodytes_troglodytes
PD_0367-Saimiri_ustus	13656-Pan_troglodytes_troglodytes
PD_0368-Saimiri_ustus	A957-Pan_troglodytes_troglodytes
PD_0369-Saimiri_ustus	A958-Pan_troglodytes_troglodytes
PD_0370-Saimiri_ustus	A959-Pan_troglodytes_troglodytes
PD_0371-Saimiri_ustus	A960-Pan_troglodytes_troglodytes
PD_0372-Saimiri_macrodon	A990-Pan_troglodytes_troglodytes
PD_0373-Saimiri_cassiquiarensis	B021-Pan_troglodytes_troglodytes
PD_0374-Saimiri_ustus	B022-Pan_troglodytes_troglodytes
PD_0375-Saimiri_ustus	B023-Pan_troglodytes_troglodytes
PD_0402-Cebus_albifrons	B024-Pan_troglodytes_troglodytes
PD_0068-Cercocebus_chrysogaster	B025-Pan_troglodytes_troglodytes
PD_0125-Cercocebus_lunulatus	9668-Pan_troglodytes_verus
PD_0256-Cercocebus_torquatus	A956-Pan_troglodytes_verus
PD_0408-Cercocebus_torquatus	A991-Pan_troglodytes_verus
PD_0032-Cercopithecus_ascanius	A993-Pan_troglodytes_verus
PD_0033-Cercopithecus_nictitans	B005-Pan_troglodytes_verus
PD_0041-Cercopithecus_cephus	B006-Pan_troglodytes_verus
PD_0042-Cercopithecus_mona	Clint-Pan_troglodytes_verus
PD_0043-Cercopithecus_lowei	N014-Pan_troglodytes_verus
