Individual_tag	Sex	Accession_code_No	Reference_Publication
Gorilla_beringei_beringei-Imfura	Male	ERS168207	Xue_2015
Gorilla_beringei_beringei-Kaboko	Male	ERS168410	Xue_2015
Gorilla_beringei_beringei-Maisha	Female	ERS525616	Xue_2015
Gorilla_beringei_beringei-Tuck	Female	ERS168204	Xue_2015
Gorilla_beringei_beringei-Turimaso	Female	ERS525618	Xue_2015
Gorilla_beringei_beringei-Umurimo	Female	ERS525617	Xue_2015
Gorilla_beringei_beringei-Zirikana	Male	ERS168174	Xue_2015
Gorilla_beringei_graueri-9732_Mkubwa	Male	SAMN01920473	Prado_Martinez_2013
Gorilla_beringei_graueri-A929_Kaisi	Male	SAMN01920474	Prado_Martinez_2013
Gorilla_beringei_graueri-A967_Victoria	Female	SAMN01920475	Prado_Martinez_2013
Gorilla_beringei_graueri-Dunia	Female	ERS525621	Xue_2015
Gorilla_beringei_graueri-Itebero	Female	ERS168205	Xue_2015
Gorilla_beringei_graueri-Ntabwoba	Male	ERS168206	Xue_2015
Gorilla_beringei_graueri-Pinga	Female	ERS525620	Xue_2015
Gorilla_beringei_graueri-Tumani	Female	ERS525619	Xue_2015
Gorilla_gorilla_diehli-B646_Nyango	Female	SAMN01920476	Prado_Martinez_2013
Gorilla_gorilla_gorilla-9749_Kowali	Female	SAMN01920477	Prado_Martinez_2013
Gorilla_gorilla_gorilla-9750_Azizi	Male	SAMN01920479	Prado_Martinez_2013
Gorilla_gorilla_gorilla-9751_Bulera	Female	SAMN01920478	Prado_Martinez_2013
Gorilla_gorilla_gorilla-9752_Suzie	Female	SAMN01920480	Prado_Martinez_2013
Gorilla_gorilla_gorilla-9753_Kokomo	Female	SAMN01920481	Prado_Martinez_2013
Gorilla_gorilla_gorilla-A930_Sandra	Female	SAMN01920486	Prado_Martinez_2013
Gorilla_gorilla_gorilla-A931_Banjo	Male	SAMN01920482	Prado_Martinez_2013
Gorilla_gorilla_gorilla-A932_Mimi	Female	SAMN01920483	Prado_Martinez_2013
Gorilla_gorilla_gorilla-A933_Dian	Female	SAMN01920484	Prado_Martinez_2013
Gorilla_gorilla_gorilla-A934_Delphi	Female	SAMN01920485	Prado_Martinez_2013
Gorilla_gorilla_gorilla-A936_Coco	Female	SAMN01920487	Prado_Martinez_2013
Gorilla_gorilla_gorilla-A937_Kolo	Female	SAMN01920488	Prado_Martinez_2013
Gorilla_gorilla_gorilla-A962_Amani	Female	SAMN01920489	Prado_Martinez_2013
Gorilla_gorilla_gorilla-B642_Akiba_Beri	Female	SAMN01920492	Prado_Martinez_2013
Gorilla_gorilla_gorilla-B643_Choomba	Female	SAMN01920493	Prado_Martinez_2013
Gorilla_gorilla_gorilla-B644_Paki	Female	SAMN01920494	Prado_Martinez_2013
Gorilla_gorilla_gorilla-B647_Anthal	Female	SAMN01920495	Prado_Martinez_2013
Gorilla_gorilla_gorilla-B650_Katie	Female	SAMN01920496	Prado_Martinez_2013
Gorilla_gorilla_gorilla-KB3782_Vila	Female	SAMN01920499	Prado_Martinez_2013
Gorilla_gorilla_gorilla-KB3784_Dolly	Female	SAMN01920502	Prado_Martinez_2013
Gorilla_gorilla_gorilla-KB4986_Katie	Female	SAMN01920503	Prado_Martinez_2013
Gorilla_gorilla_gorilla-KB5792_Carolyn	Female	SAMN01920497	Prado_Martinez_2013
Gorilla_gorilla_gorilla-KB5852_Helen	Female	SAMN01920500	Prado_Martinez_2013
Gorilla_gorilla_gorilla-KB6039_Oko	Female	SAMN01920501	Prado_Martinez_2013
Gorilla_gorilla_gorilla-KB7973_Porta	Female	SAMN01920498	Prado_Martinez_2013
Gorilla_gorilla_gorilla-X00108_Abe	Male	SAMN01920490	Prado_Martinez_2013
Gorilla_gorilla_gorilla-X00109_Tzambo	Male	SAMN01920491	Prado_Martinez_2013
Homo_sapiens-Africa_20	Male	SAMEA3302816	1KGDP
Homo_sapiens-Africa_21	Male	SAMEA3302673	1KGDP
Homo_sapiens-Africa_22	Male	SAMEA3302682	1KGDP
Homo_sapiens-Africa_23	Female	SAMEA3302881	1KGDP
Homo_sapiens-Africa_24	Male	SAMEA3302854	1KGDP
Homo_sapiens-Africa_25	Male	SAMEA3302756	1KGDP
Homo_sapiens-Africa_26	Female	SAMEA3302850	1KGDP
Homo_sapiens-Africa_27	Female	SAMEA3302835	1KGDP
Homo_sapiens-Africa_28	Male	SAMEA3302632	1KGDP
Homo_sapiens-WestEurasia_0	Male	SAMEA3302844	1KGDP
Homo_sapiens-WestEurasia_1	Female	SAMEA3302855	1KGDP
Homo_sapiens-WestEurasia_2	Male	SAMEA3302656	1KGDP
Homo_sapiens-WestEurasia_3	Female	SAMEA3302728	1KGDP
Homo_sapiens-WestEurasia_4	Male	SAMEA3302621	1KGDP
Homo_sapiens-WestEurasia_5	Female	SAMEA3302903	1KGDP
Homo_sapiens-WestEurasia_6	Female	SAMEA3302695	1KGDP
Homo_sapiens-WestEurasia_7	Male	SAMEA3302635	1KGDP
Homo_sapiens-WestEurasia_8	Female	SAMEA3302828	1KGDP
Homo_sapiens-WestEurasia_9	Male	SAMEA3302667	1KGDP
Pan_paniscus-A914_Hortense	Female	SAMN01920505	Prado_Martinez_2013
Pan_paniscus-A915_Kosana	Female	SAMN01920506	Prado_Martinez_2013
Pan_paniscus-A917_Dzeeta	Female	SAMN01920507	Prado_Martinez_2013
Pan_paniscus-A918_Hermien	Female	SAMN01920508	Prado_Martinez_2013
Pan_paniscus-A919_Desmond	Male	SAMN01920509	Prado_Martinez_2013
Pan_paniscus-A922_Catherine	Female	SAMN01920510	Prado_Martinez_2013
Pan_paniscus-A923_Kombote	Female	SAMN01920511	Prado_Martinez_2013
Pan_paniscus-A924_Chipita	Female	SAMN01920512	Prado_Martinez_2013
Pan_paniscus-A925_Bono	Male	SAMN01920513	Prado_Martinez_2013
Pan_paniscus-A926_Natalie	Female	SAMN01920514	Prado_Martinez_2013
Pan_troglodytes-A996_Diana	Female	-	de_Manuel_2016
Pan_troglodytes-B010_Ikuru	Female	SAMEA4374789	de_Manuel_2016
Pan_troglodytes-N018_Trixie	Female	SAMEA4374793	de_Manuel_2016
Pan_troglodytes_ellioti-Akwaya_Jean	Male	SAMN01920517	Prado_Martinez_2013
Pan_troglodytes_ellioti-Banyo	Female	SAMN01920518	Prado_Martinez_2013
Pan_troglodytes_ellioti-Basho	Male	SAMN01920519	Prado_Martinez_2013
Pan_troglodytes_ellioti-Damian	Male	SAMN01920520	Prado_Martinez_2013
Pan_troglodytes_ellioti-Julie	Female	SAMN01920521	Prado_Martinez_2013
Pan_troglodytes_ellioti-Kopongo	Female	SAMN01920522	Prado_Martinez_2013
Pan_troglodytes_ellioti-Koto	Male	SAMN01920523	Prado_Martinez_2013
Pan_troglodytes_ellioti-Paquita	Female	SAMN01920524	Prado_Martinez_2013
Pan_troglodytes_ellioti-Taweh	Male	SAMN01920525	Prado_Martinez_2013
Pan_troglodytes_ellioti-Tobi	Female	SAMN01920526	Prado_Martinez_2013
