id	species	ref_genome	sex
PD_0001	Cheracebus_lugens	Pithecia_pithecia.fasta	Female
PD_0002	Callibella_humilis	Callithrix_jacchus.fasta	Male
PD_0003	Cacajao_hosomi	Pithecia_pithecia.fasta	Male
PD_0004	Ateles_belzebuth	Atele_fusciceps.fasta	Female
PD_0005	Alouatta_macconnelli	Atele_fusciceps.fasta	Male
PD_0006	Chiropotes_israelita	Pithecia_pithecia.fasta	Female
PD_0007	Cebus_olivaceus	Cebus_albifrons.fasta	Female
PD_0008	Aotus_trivirgatus	Aotus_nancymaae.fasta	Female
PD_0009	Saguinus_inustus	Saguinus_midas.fasta	Male
PD_0010	Cebuella_niveiventris	Callithrix_jacchus.fasta	Female
PD_0011	Sapajus_macrocephalus	Cebus_albifrons.fasta	Female
PD_0012	Saimiri_ustus	Cebus_albifrons.fasta	Unknown
PD_0013	Cebus_unicolor	Cebus_albifrons.fasta	Female
PD_0014	Plecturocebus_cupreus	Pithecia_pithecia.fasta	Female
PD_0015	Pithecia_vanzolinii	Pithecia_pithecia.fasta	Male
PD_0016	Lagothrix_lagothricha	Atele_fusciceps.fasta	Male
PD_0017	Leontocebus_nigricollis	Saguinus_midas.fasta	Female
PD_0018	Cacajao_melanocephalus	Pithecia_pithecia.fasta	Male
PD_0019	Cacajao_ayresi	Pithecia_pithecia.fasta	Female
PD_0020	Cacajao_calvus	Pithecia_pithecia.fasta	Female
PD_0021	Cacajao_calvus	Pithecia_pithecia.fasta	Female
PD_0022	Cacajao_ayresi	Pithecia_pithecia.fasta	Female
PD_0023	Cacajao_calvus	Pithecia_pithecia.fasta	Female
PD_0024	Cacajao_calvus	Pithecia_pithecia.fasta	Female
PD_0025	Alouatta_seniculus	Atele_fusciceps.fasta	Female
PD_0026	Alouatta_puruensis	Atele_fusciceps.fasta	Female
PD_0027	Alouatta_discolor	Atele_fusciceps.fasta	Female
PD_0028	Allenopithecus_nigroviridis	Chlorocebus_aethiops.fasta	Male
PD_0029	Allochrocebus_lhoesti	Chlorocebus_aethiops.fasta	Female
PD_0030	Allochrocebus_preussi	Chlorocebus_aethiops.fasta	Female
PD_0031	Allochrocebus_solatus	Chlorocebus_aethiops.fasta	Male
PD_0032	Cercopithecus_ascanius	Cercopithecus_mitis.fasta	Female
PD_0033	Cercopithecus_nictitans	Cercopithecus_mitis.fasta	Male
PD_0034	Erythrocebus_patas	Erythrocebus_patas.fasta	Male
PD_0035	Hylobates_klossii	Nomascus_leucogenys.fasta	Male
